Protein ID	Essential
15174	Yes
15278	Yes
16786	Yes
14470	Yes
16628	Yes
11334	Yes
10281	Yes
9488	Yes
14725	Yes
11911	Yes
15800	Yes
11674	Yes
14448	Yes
10648	Yes
11055	Yes
10171	Yes
8610	Yes
8912	Yes
13946	Yes
10169	Yes
15050	Yes
15419	Yes
10195	Yes
16818	Yes
8826	Yes
12914	Yes
9144	Yes
13842	Yes
9781	Yes
14843	Yes
14525	Yes
14717	Yes
15233	Yes
13364	Yes
15582	Yes
12308	Yes
13823	Yes
15742	Yes
16218	Yes
13973	Yes
15933	Yes
8888	Yes
10986	Yes
14848	Yes
13164	Yes
11157	Yes
12549	Yes
8939	Yes
12098	Yes
11636	Yes
9952	Yes
10832	Yes
8487	Yes
8622	Yes
8704	Yes
8776	Yes
9239	Yes
9313	Yes
9413	Yes
9985	Yes
10327	Yes
10348	Yes
10411	Yes
10599	Yes
10634	Yes
11585	Yes
12092	Yes
12159	Yes
12764	Yes
13149	Yes
13184	Yes
13951	Yes
14095	Yes
14154	Yes
14515	Yes
14596	Yes
14735	Yes
15110	Yes
15141	Yes
15519	Yes
15633	Yes
16247	Yes
10532	Yes
11633	Yes
8990	Yes
12037	Yes
12118	Yes
16602	Yes
16377	Yes
14027	Yes
9830	Yes
16748	Yes
15179	Yes
10229	Yes
8498	Yes
8816	Yes
13261	Yes
11622	Yes
16518	Yes
9580	Yes
16231	Yes
14752	Yes
13814	Yes
9005	Yes
12072	Yes
9795	Yes
10633	Yes
16006	Yes
11417	Yes
14193	Yes
12343	Yes
14227	Yes
11279	Yes
8804	Yes
14936	Yes
12458	Yes
12478	Yes
12070	Yes
12309	Yes
13283	Yes
15947	Yes
14428	Yes
8446	Yes
13584	Yes
13459	Yes
10602	Yes
9940	Yes
14587	Yes
11820	Yes
9879	Yes
11954	Yes
14064	Yes
10555	Yes
10556	Yes
9896	Yes
10590	Yes
16479	Yes
15818	Yes
14003	Yes
11552	Yes
15269	Yes
9761	Yes
13333	Yes
11069	Yes
15412	Yes
12403	Yes
9583	Yes
11628	Yes
16104	Yes
9993	Yes
9196	Yes
9818	Yes
15685	Yes
14053	Yes
10266	Yes
14076	Yes
12937	Yes
8971	Yes
9197	Yes
10857	Yes
13551	Yes
10114	Yes
16739	Yes
14418	Yes
13147	Yes
12969	Yes
15942	Yes
15413	Yes
11978	Yes
11868	Yes
14794	Yes
12330	Yes
15851	Yes
8909	Yes
11815	Yes
11554	Yes
12353	Yes
12147	Yes
9159	Yes
13050	Yes
12984	Yes
8537	Yes
11664	Yes
11946	Yes
15600	Yes
16081	Yes
15998	Yes
11935	Yes
13209	Yes
8749	Yes
9475	Yes
8563	Yes
14394	Yes
13157	Yes
13775	Yes
14495	Yes
8559	Yes
16042	Yes
12520	Yes
10415	Yes
11395	Yes
14174	Yes
16546	Yes
9604	Yes
9180	Yes
8801	Yes
11705	Yes
8812	Yes
9251	Yes
11104	Yes
8689	Yes
13017	Yes
15908	Yes
12653	Yes
8425	Yes
10016	Yes
15060	Yes
10905	Yes
10271	Yes
15210	Yes
12344	Yes
16012	Yes
16110	Yes
15827	Yes
8868	Yes
11702	Yes
13726	Yes
13966	Yes
15005	Yes
9872	Yes
15944	Yes
9690	Yes
12618	Yes
13424	Yes
10807	Yes
14578	Yes
13963	Yes
8993	Yes
12287	Yes
15973	Yes
10923	Yes
13492	Yes
16085	Yes
8713	Yes
14278	Yes
16537	Yes
15391	Yes
14058	Yes
11830	Yes
8645	Yes
12281	Yes
13477	Yes
8916	Yes
12949	Yes
14320	Yes
16017	Yes
9954	Yes
9047	Yes
15350	Yes
11610	Yes
12357	Yes
10334	Yes
15717	Yes
16424	Yes
