proteinId	transcriptId
6	157
7	158
14	165
26	177
37	188
45	196
51	202
57	208
69	220
74	225
79	230
84	235
98	249
103	254
114	265
115	266
121	272
139	290
143	294
152	303
174	325
180	331
200	351
223	374
235	386
248	399
254	405
267	418
271	422
276	427
277	428
279	430
284	435
288	439
290	441
292	443
294	445
296	447
299	450
308	459
315	466
317	468
318	469
323	474
330	481
340	491
347	498
359	510
360	511
366	517
373	524
381	532
389	540
395	546
409	560
424	575
443	594
457	608
464	615
480	631
490	641
507	658
510	661
520	671
528	679
529	680
532	683
537	688
550	701
567	718
573	724
577	728
594	745
595	746
596	747
603	754
619	770
626	777
633	784
639	790
644	795
651	802
658	809
659	810
665	816
679	830
683	834
692	843
705	856
707	858
708	859
715	866
720	871
738	889
742	893
748	899
751	902
755	906
756	907
780	931
781	932
782	933
784	935
791	942
795	946
803	954
806	957
808	959
816	967
832	983
839	990
864	1015
877	1028
889	1040
907	1058
913	1064
924	1075
925	1076
935	1086
940	1091
944	1095
968	1119
969	1120
995	1146
996	1147
1003	1154
1006	1157
1040	1191
1046	1197
1061	1212
1082	1233
1096	1247
1150	1301
1183	1334
1184	1335
1266	1417
1275	1426
1295	1446
1325	1476
1326	1477
1331	1482
1363	1514
1374	1525
1389	1540
1395	1546
1400	1551
1401	1552
1429	1580
1431	1582
1437	1588
1446	1597
1453	1604
1465	1616
1477	1628
1484	1635
1505	1656
1506	1657
1518	1669
1532	1683
1536	1687
1542	1693
1548	1699
1557	1708
1566	1717
1581	1732
1585	1736
1591	1742
1592	1743
1613	1764
1619	1770
1626	1777
1638	1789
1647	1798
1648	1799
1652	1803
1653	1804
1692	1843
1960	2111
2026	2177
2081	2232
2098	2249
2118	2269
2119	2270
2146	2297
2167	2318
2182	2333
2200	2351
2202	2353
2208	2359
2213	2364
2222	2373
2233	2384
2244	2395
2256	2407
2268	2419
2278	2429
2288	2439
2306	2457
2318	2469
2319	2470
2330	2481
2341	2492
2353	2504
2370	2521
2391	2542
2403	2554
2428	2579
2438	2589
2444	2595
2460	2611
2466	2617
2483	2634
2505	2656
2516	2667
2529	2680
2540	2691
2550	2701
2560	2711
2570	2721
2582	2733
2587	2738
2637	2788
2639	2790
2648	2799
2659	2810
2666	2817
2697	2848
2719	2870
2726	2877
2727	2878
2733	2884
2736	2887
2741	2892
2760	2911
2774	2925
2817	2968
2818	2969
2826	2977
2830	2981
2836	2987
2842	2993
2850	3001
2864	3015
2870	3021
2871	3022
2892	3043
2893	3044
2938	3089
2939	3090
2960	3111
2965	3116
2974	3125
2996	3147
3002	3153
3003	3154
3007	3158
3011	3162
3082	3233
3089	3240
3093	3244
3109	3260
3157	3308
3179	3330
3193	3344
3217	3368
3250	3401
3294	3445
3315	3466
3333	3484
3347	3498
3361	3512
3387	3538
3407	3558
3453	3604
3458	3609
3490	3641
3512	3663
3547	3698
3580	3731
