#Query_id	Hit_xid	Hit_tcid	Hit_desc	Match_length	e-value	%_identity	Query_Length	Hit_Length	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	row_number
13972	Q14028	1.A.1.5.3	gnl|BL_ORD_ID|9872 gnl|TC-DB|Q14028|1.A.1.5.3 Cyclic-nucleotide-gated cation channel 4 (CNG channel 4) (CNG-4) (CNG4) (Cyclic nucleotide-gated cation channel modulatory subunit) - Homo sapiens (Human).	576	3.01319e-11	23.0	729	1251	72.7	41.0	0	0	None	VIC	cations	1
14619	Q9UL51	1.A.1.5.11	gnl|BL_ORD_ID|15304 gnl|TC-DB|Q9UL51|1.A.1.5.11 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 OS=Homo sapiens GN=HCN2 PE=1 SV=3	196	4.4374e-07	27.0	351	889	48.4	20.1	0	0	None	VIC	cations	2
15817	Q9UL51	1.A.1.5.11	gnl|BL_ORD_ID|15304 gnl|TC-DB|Q9UL51|1.A.1.5.11 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 OS=Homo sapiens GN=HCN2 PE=1 SV=3	155	9.84162e-06	24.0	309	889	47.2	16.3	0	0	None	VIC	cations	3
13686	Q9Y3Q4	1.A.1.5.11	gnl|BL_ORD_ID|15595 gnl|TC-DB|Q9Y3Q4|1.A.1.5.11 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 OS=Homo sapiens GN=HCN4 PE=1 SV=1	178	2.59846e-05	29.0	368	1203	46.7	13.9	0	0	None	VIC	cations	4
12675	Q9UL51	1.A.1.5.11	gnl|BL_ORD_ID|15304 gnl|TC-DB|Q9UL51|1.A.1.5.11 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 OS=Homo sapiens GN=HCN2 PE=1 SV=3	85	0.000153194	40.0	209	889	40.2	9.0	0	0	None	VIC	cations	5
13149	Q9Y3Q4	1.A.1.5.11	gnl|BL_ORD_ID|15595 gnl|TC-DB|Q9Y3Q4|1.A.1.5.11 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 OS=Homo sapiens GN=HCN4 PE=1 SV=1	163	0.000373194	27.0	187	1203	81.3	11.6	0	0	None	VIC	cations	6
9630	Q9Y3Q4	1.A.1.5.11	gnl|BL_ORD_ID|15595 gnl|TC-DB|Q9Y3Q4|1.A.1.5.11 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 OS=Homo sapiens GN=HCN4 PE=1 SV=1	180	0.000445072	29.0	326	1203	53.7	14.1	0	0	None	VIC	cations	7
15047	P40310	1.A.1.7.1	gnl|BL_ORD_ID|7941 gnl|TC-DB|P40310|1.A.1.7.1 OUTWARD-RECTIFIER POTASSIUM CHANNEL TOK1 (TWO-DOMAIN OUTWARD RECTIFIER K+ CHANNEL YORK) - Saccharomyces cerevisiae (Baker's yeast).	466	1.66721e-24	22.0	720	691	59.3	59.9	0	0	None	VIC	K+	8
14173	O55017	1.A.1.11.9	gnl|BL_ORD_ID|5591 gnl|TC-DB|O55017|1.A.1.11.9 Voltage-dependent N-type calcium channel subunit alpha-1B - Mus musculus (Mouse).	115	0.000876854	30.0	226	2327	47.8	4.5	0	0	None	VIC	Ca2+	9
15860	Q1HHN2	1.A.1.11.17	gnl|BL_ORD_ID|10100 gnl|TC-DB|Q1HHN2|1.A.1.11.17 High-affinity cell membrane calcium channel OS=Cryptococcus neoformans var. grubii GN=CCH1 PE=4 SV=1	1548	0.0	44.0	2092	2091	71.8	71.3	0	0	None	VIC	Ca2+	10
16673	O00555	1.A.1.11.27	gnl|BL_ORD_ID|4992 gnl|TC-DB|O00555|1.A.1.11.27 Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Homo sapiens GN=CACNA1A PE=1 SV=2	297	3.37854e-06	22.0	452	2505	63.3	11.1	0	0	None	VIC	Ca2+	11
8432	A8IHW3	1.A.1.11.29	gnl|BL_ORD_ID|817 gnl|TC-DB|A8IHW3|1.A.1.11.29 Voltage-gated Ca2+ channel, alpha subunit OS=Chlamydomonas reinhardtii GN=CAV7 PE=4 SV=1	232	1.77332e-07	26.0	549	3097	40.3	7.0	0	0	None	VIC	Ca2+	12
15774	A8IHW3	1.A.1.11.29	gnl|BL_ORD_ID|817 gnl|TC-DB|A8IHW3|1.A.1.11.29 Voltage-gated Ca2+ channel, alpha subunit OS=Chlamydomonas reinhardtii GN=CAV7 PE=4 SV=1	311	2.88515e-05	24.0	323	3097	81.4	9.4	0	0	None	VIC	Ca2+	13
11567	A8IHW3	1.A.1.11.29	gnl|BL_ORD_ID|817 gnl|TC-DB|A8IHW3|1.A.1.11.29 Voltage-gated Ca2+ channel, alpha subunit OS=Chlamydomonas reinhardtii GN=CAV7 PE=4 SV=1	226	0.000780162	23.0	241	3097	90.5	7.0	0	0	None	VIC	Ca2+	14
9762	Q9ULD8	1.A.1.20.5	gnl|BL_ORD_ID|15307 gnl|TC-DB|Q9ULD8|1.A.1.20.5 Potassium voltage-gated channel subfamily H member 3 OS=Homo sapiens GN=KCNH3 PE=2 SV=2	92	1.72519e-12	36.0	136	1083	65.4	8.4	0	0	None	VIC	K+	15
15204	Q02280	1.A.1.20.6	gnl|BL_ORD_ID|9316 gnl|TC-DB|Q02280|1.A.1.20.6 Potassium voltage-gated channel protein eag OS=Drosophila melanogaster GN=eag PE=1 SV=2	155	1.58544e-08	30.0	263	1174	51.0	12.8	0	0	None	VIC	K+	16
9296	P19334	1.A.4.1.1	gnl|BL_ORD_ID|7002 gnl|TC-DB|P19334|1.A.4.1.1 TRANSIENT RECEPTOR POTENTIAL PROTEIN - Drosophila melanogaster (Fruit fly).	238	3.59636e-07	26.0	351	1275	61.8	17.7	0	0	None	TRP-CC	Ca2+	17
9116	P19334	1.A.4.1.1	gnl|BL_ORD_ID|7002 gnl|TC-DB|P19334|1.A.4.1.1 TRANSIENT RECEPTOR POTENTIAL PROTEIN - Drosophila melanogaster (Fruit fly).	241	0.000662057	23.0	491	1275	48.9	16.4	0	0	None	TRP-CC	Ca2+	18
11870	A8JCM1	1.A.4.1.13	gnl|BL_ORD_ID|849 gnl|TC-DB|A8JCM1|1.A.4.1.13 Transient receptor potential ion channel protein OS=Chlamydomonas reinhardtii GN=TRP6 PE=4 SV=1	124	0.000215424	29.0	170	2341	66.5	5.0	0	0	None	TRP-CC	Ca2+	19
16391	A8IAT9	1.A.4.1.14	gnl|BL_ORD_ID|813 gnl|TC-DB|A8IAT9|1.A.4.1.14 Flagellar associated protein (Fragment) OS=Chlamydomonas reinhardtii GN=FAP148 PE=4 SV=1	343	2.14268e-10	20.0	611	1732	55.2	19.2	0	0	None	TRP-CC	Ca2+	20
11950	Q12324	1.A.4.4.1	gnl|BL_ORD_ID|9811 gnl|TC-DB|Q12324|1.A.4.4.1 Calcium channel YVC1 - Saccharomyces cerevisiae (Baker's yeast).	654	1.81336e-76	28.0	662	675	90.6	95.3	0	0	None	TRP-CC	Ca2+	21
11631	Q12324	1.A.4.4.1	gnl|BL_ORD_ID|9811 gnl|TC-DB|Q12324|1.A.4.4.1 Calcium channel YVC1 - Saccharomyces cerevisiae (Baker's yeast).	390	5.28978e-16	25.0	762	675	48.7	55.3	0	0	None	TRP-CC	Ca2+	22
16534	Q12324	1.A.4.4.1	gnl|BL_ORD_ID|9811 gnl|TC-DB|Q12324|1.A.4.4.1 Calcium channel YVC1 - Saccharomyces cerevisiae (Baker's yeast).	393	6.33651e-14	25.0	965	675	39.5	55.4	0	0	None	TRP-CC	Ca2+	23
13296	Q09917	1.A.4.9.2	gnl|BL_ORD_ID|9612 gnl|TC-DB|Q09917|1.A.4.9.2 TRP-like ion channel pkd2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=pkd2 PE=1 SV=1	330	1.1619e-15	25.0	852	710	38.5	42.5	0	0	None	TRP-CC	inorganic cations, Ca2+	24
15063	P27169	1.A.6.2.6	gnl|BL_ORD_ID|7273 gnl|TC-DB|P27169|1.A.6.2.6 Serum paraoxonase/arylesterase 1 OS=Homo sapiens GN=PON1 PE=1 SV=3	238	2.88335e-19	30.0	396	355	58.3	61.4	0	0	None	ENaC	Na+	25
10871	P27169	1.A.6.2.6	gnl|BL_ORD_ID|7273 gnl|TC-DB|P27169|1.A.6.2.6 Serum paraoxonase/arylesterase 1 OS=Homo sapiens GN=PON1 PE=1 SV=3	196	9.57415e-08	26.0	503	355	38.8	46.5	0	0	None	ENaC	Na+	26
9014	H6B4G1	1.A.8.6.4	gnl|BL_ORD_ID|4064 gnl|TC-DB|H6B4G1|1.A.8.6.4 Aquaporin 1 OS=Terfezia claveryi GN=AQP1 PE=2 SV=1	274	8.02573e-85	49.0	451	307	60.5	81.8	0	0	None	MIP	water, CO2	27
13987	H6B4G1	1.A.8.6.4	gnl|BL_ORD_ID|4064 gnl|TC-DB|H6B4G1|1.A.8.6.4 Aquaporin 1 OS=Terfezia claveryi GN=AQP1 PE=2 SV=1	250	5.74671e-82	51.0	406	307	61.3	79.8	0	0	None	MIP	water, CO2	28
13986	H6B4G1	1.A.8.6.4	gnl|BL_ORD_ID|4064 gnl|TC-DB|H6B4G1|1.A.8.6.4 Aquaporin 1 OS=Terfezia claveryi GN=AQP1 PE=2 SV=1	200	2.5694e-81	60.0	421	307	47.0	64.8	0	0	None	MIP	water, CO2	29
9015	H6B4G1	1.A.8.6.4	gnl|BL_ORD_ID|4064 gnl|TC-DB|H6B4G1|1.A.8.6.4 Aquaporin 1 OS=Terfezia claveryi GN=AQP1 PE=2 SV=1	257	7.44729e-81	47.0	335	307	76.4	80.8	0	0	None	MIP	water, CO2	30
11412	P23645	1.A.8.8.3	gnl|BL_ORD_ID|7132 gnl|TC-DB|P23645|1.A.8.8.3 Neurogenic protein big brain - Drosophila melanogaster (Fruit fly).	403	5.20761e-10	28.0	1137	696	35.1	40.8	0	0	None	MIP	ions	31
9543	ARA90648	1.A.8.8.24	gnl|BL_ORD_ID|1126 gnl|TC-DB|ARA90648.1|1.A.8.8.24 big brain-like 1, partial [Amphibalanus improvisus]	144	1.07149e-06	28.0	309	309	44.7	46.0	0	0	None	MIP	None	32
11155	ARA90648	1.A.8.8.24	gnl|BL_ORD_ID|1126 gnl|TC-DB|ARA90648.1|1.A.8.8.24 big brain-like 1, partial [Amphibalanus improvisus]	212	9.53481e-05	24.0	1566	309	13.1	64.7	0	0	None	MIP	None	33
15470	P43549	1.A.8.9.7	gnl|BL_ORD_ID|8104 gnl|TC-DB|P43549|1.A.8.9.7 HYPOTHETICAL 70.5 KDA PROTEIN IN AGP3-DAK3 INTERGENIC REGION - Saccharomyces cerevisiae (Baker's yeast).	292	4.58326e-80	47.0	785	646	37.1	43.5	0	0	None	MIP	glycerol	34
13100	G3JCK4	1.A.8.9.8	gnl|BL_ORD_ID|3739 gnl|TC-DB|G3JCK4|1.A.8.9.8 Glycerol uptake facilitator, putative OS=Cordyceps militaris (strain CM01) GN=CCM_02085 PE=3 SV=1	297	5.67126e-65	39.0	355	393	82.5	74.3	0	0	None	MIP	glycerol	35
10256	Q9TW41	1.A.9.4.2	gnl|BL_ORD_ID|15239 gnl|TC-DB|Q9TW41|1.A.9.4.2 Putative uncharacterized protein avr-15 - Caenorhabditis elegans.	70	0.000655717	36.0	155	657	40.6	10.5	0	0	None	LIC	Cl-	36
12926	Q8NKD5	1.A.11.3.3	gnl|BL_ORD_ID|13183 gnl|TC-DB|Q8NKD5|1.A.11.3.3 Ammonium transporter - Hebeloma cylindrosporum.	454	0.0	57.0	508	477	89.0	92.9	0	0	None	Amt	ammonia, Methylamine	37
13637	Q96UY0	1.A.11.3.4	gnl|BL_ORD_ID|13965 gnl|TC-DB|Q96UY0|1.A.11.3.4 Ammonium transporter - Hebeloma cylindrosporum.	420	1.06288e-167	52.0	522	471	80.3	88.7	0	0	None	Amt	ammonia	38
10976	Q96NY7	1.A.12.1.4	gnl|BL_ORD_ID|13943 gnl|TC-DB|Q96NY7|1.A.12.1.4 Chloride intracellular channel 6 - Homo sapiens (Human).	294	7.95822e-07	28.0	496	704	56.5	38.9	0	0	None	CLIC	Cl-	39
8806	Q96NY7	1.A.12.1.4	gnl|BL_ORD_ID|13943 gnl|TC-DB|Q96NY7|1.A.12.1.4 Chloride intracellular channel 6 - Homo sapiens (Human).	252	0.00020014	24.0	497	704	44.5	33.8	0	0	None	CLIC	Cl-	40
14069	Q96NY7	1.A.12.1.4	gnl|BL_ORD_ID|13943 gnl|TC-DB|Q96NY7|1.A.12.1.4 Chloride intracellular channel 6 - Homo sapiens (Human).	97	0.000956162	31.0	130	704	67.7	13.2	0	0	None	CLIC	Cl-	41
8431	Q9FWR4	1.A.12.2.1	gnl|BL_ORD_ID|14375 gnl|TC-DB|Q9FWR4|1.A.12.2.1 Putative GSH-dependent dehydroascorbate reductase - Arabidopsis thaliana (Mouse-ear cress).	219	4.28575e-08	25.0	240	213	89.6	89.7	0	0	None	CLIC	Cl-	42
16750	Q8F2Y8	1.A.12.2.2	gnl|BL_ORD_ID|12838 gnl|TC-DB|Q8F2Y8|1.A.12.2.2 Glutathione transferase OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=gst PE=1 SV=1	157	2.30561e-15	32.0	256	218	57.8	68.3	0	0	None	CLIC	Cl-	43
13732	U3IVC3	1.A.14.1.5	gnl|BL_ORD_ID|16038 gnl|TC-DB|U3IVC3|1.A.14.1.5 Uncharacterized protein OS=Anas platyrhynchos GN=GHITM PE=4 SV=1	301	2.89718e-30	30.0	356	345	79.5	85.5	0	0	None	CaTA	Unknown	44
13455	Q9HC24	1.A.14.3.6	gnl|BL_ORD_ID|14470 gnl|TC-DB|Q9HC24|1.A.14.3.6 Protein lifeguard 4 OS=Homo sapiens GN=TMBIM4 PE=1 SV=3	227	6.86453e-57	40.0	286	238	79.0	94.5	0	0	None	CaTA	ions, inorganic cations	45
11886	P21825	1.A.15.1.1	gnl|BL_ORD_ID|7064 gnl|TC-DB|P21825|1.A.15.1.1 3.A.5.8.1 Translocation protein SEC62	255	4.23114e-35	29.0	281	274	82.9	91.6	0	0	None	NSCC2	Unknown	46
11406	C7Z7K1	1.A.17.1.18	gnl|BL_ORD_ID|2121 gnl|TC-DB|C7Z7K1|1.A.17.1.18 Predicted protein OS=Nectria haematococca (strain 77-13-4 / ATCC MYA-4622 / FGSC 9596 / MPVI) GN=NECHADRAFT_66456 PE=1 SV=1	609	1.03317e-111	34.0	840	735	72.1	75.5	0	0	None	CaClC	lipids	47
11045	909127315	1.A.17.2.5	gnl|BL_ORD_ID|89 gnl|TC-DB|909127315|1.A.17.2.5 hypothetical protein AMAG_00589 [Allomyces macrogynus ATCC 38327]	143	1.00929e-08	30.0	201	914	66.2	13.6	0	0	None	CaClC	Unknown	48
15675	909127315	1.A.17.2.5	gnl|BL_ORD_ID|89 gnl|TC-DB|909127315|1.A.17.2.5 hypothetical protein AMAG_00589 [Allomyces macrogynus ATCC 38327]	201	3.11026e-06	24.0	468	914	42.7	21.2	0	0	None	CaClC	Unknown	49
16318	E7FFT2	1.A.17.4.13	gnl|BL_ORD_ID|3027 gnl|TC-DB|E7FFT2|1.A.17.4.13 Transmembrane channel-like protein OS=Danio rerio GN=tmc2a PE=2 SV=2	167	1.24414e-10	31.0	391	916	41.2	15.7	0	0	None	CaClC	Unknown	50
14874	E7FFT2	1.A.17.4.13	gnl|BL_ORD_ID|3027 gnl|TC-DB|E7FFT2|1.A.17.4.13 Transmembrane channel-like protein OS=Danio rerio GN=tmc2a PE=2 SV=2	134	1.86152e-05	25.0	187	916	69.0	11.6	0	0	None	CaClC	Unknown	51
10700	G2Y513	1.A.17.5.5	gnl|BL_ORD_ID|3726 gnl|TC-DB|G2Y513|1.A.17.5.5 Similar to DUF221 domain protein OS=Botryotinia fuckeliana (strain T4) GN=BofuT4_P037330.1 PE=4 SV=1	776	2.44622e-124	32.0	1081	853	70.4	89.6	0	0	None	CaClC	Unknown	52
13027	J5PL79	1.A.17.5.8	gnl|BL_ORD_ID|4375 gnl|TC-DB|J5PL79|1.A.17.5.8 RSN1-like protein OS=Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889) GN=YMR266W PE=4 SV=1	726	3.25085e-133	33.0	874	957	82.0	72.5	0	0	None	CaClC	Unknown	53
9476	Q06538	1.A.17.5.11	gnl|BL_ORD_ID|9492 gnl|TC-DB|Q06538|1.A.17.5.11 Calcium permeable stress-gated cation channel 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSC1 PE=1 SV=1	778	1.06606e-66	26.0	1032	782	74.3	91.6	0	0	None	CaClC	Ca2+	54
15510	Q06538	1.A.17.5.11	gnl|BL_ORD_ID|9492 gnl|TC-DB|Q06538|1.A.17.5.11 Calcium permeable stress-gated cation channel 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSC1 PE=1 SV=1	415	4.31804e-20	26.0	1343	782	30.4	50.4	0	0	None	CaClC	Ca2+	55
12805	F9X0Q3	1.A.23.4.9	gnl|BL_ORD_ID|3578 gnl|TC-DB|F9X0Q3|1.A.23.4.9 Calcium channel OS=Mycosphaerella graminicola (strain CBS 115943 / IPO323) GN=MYCGRDRAFT_67398 PE=4 SV=1	574	1.7814e-117	36.0	723	1025	77.7	55.9	0	0	None	MscS	ions	56
13287	Q6P9F7	1.A.25.3.1	gnl|BL_ORD_ID|11861 gnl|TC-DB|Q6P9F7|1.A.25.3.1 Leucine-rich repeat-containing protein 8B OS=Homo sapiens GN=LRRC8B PE=2 SV=2	450	1.65476e-21	25.0	2010	803	20.2	54.7	0	0	None	Innexin	anions	57
15494	Q96GZ6	1.A.26.2.3	gnl|BL_ORD_ID|13920 gnl|TC-DB|Q96GZ6|1.A.26.2.3 Solute carrier family 41 member 3 OS=Homo sapiens GN=SLC41A3 PE=2 SV=2	418	1.91958e-51	32.0	439	507	88.8	76.1	0	0	None	MgtE	Mg2+	58
11639	Q93R25	1.A.30.1.2	gnl|BL_ORD_ID|13802 gnl|TC-DB|Q93R25|1.A.30.1.2 Sodium-type flagellar motor component - Vibrio alginolyticus	194	7.88966e-05	26.0	833	211	22.2	89.1	0	0	None	Mot/Exb	Na+	59
