RTO4_ID	UniProt
10632	B3TQJ2
10637	B3TQJ2
10640	B3TQJ2
15931	A0A2T0A585
15937	A0A2T0A585
12091	A0A061BI63
13062	A0A061BI63
15929	A0A0K3CHS6
15935	A0A0K3CHS6
11530	A0A2S9ZVH3
11771	A0A2S9ZVH3
9570	A0A061AJU7
9572	A0A061AJU7
14108	A0A0K3CDD2
14109	A0A0K3CDD2
11418	A0A2S9ZX25
11534	A0A2S9ZX25
12090	A0A0K3CFH9
13063	A0A0K3CFH9
11529	A0A2S9ZVF8
11770	A0A2S9ZVF8
12722	A0A2S9ZVE7
12725	A0A2S9ZVE7
11531	A0A2S9ZX10
11772	A0A2S9ZX10
9177	A0A2T0AJI4
9178	A0A2T0AJI4
15932	A0A0K3CJ30
15938	A0A0K3CJ30
14732	A0A2T0A8S1
14731	A0A2T0A8N6
16366	A0A2T0A353
10404	A0A2T0A0L0
14449	A0A2T0ABQ0
13669	A0A2T0AC74
8934	A0A2T0AIN2
10513	A0A2S9ZZ22
15630	A0A2T0A7T0
13127	A0A2T0ADL7
8586	A0A2T0AHM6
11855	A0A2S9ZVQ8
13557	A0A2T0ABW5
11918	A0A2T0AER8
12895	A0A2T0AD02
16039	A0A2T0A5T6
14801	A0A2T0A8V7
15364	A0A2T0A719
11193	A0A2S9ZXH9
11300	A0A2S9ZXU1
11436	A0A2S9ZWT4
10481	A0A2S9ZYX6
16694	A0A2T0A460
13992	A0A2T0AAC7
14929	A0A2T0A9H1
13369	A0A2T0AEC2
12491	A0A2T0AGD7
9032	A0A2T0AIZ5
10485	A0A2S9ZYW0
9028	A0A2T0AJ22
15064	A0A2T0A9L5
12854	A0A2T0ACV2
11937	A0A2T0AET2
13180	A0A2T0ADT5
11942	A0A2T0AEV9
8426	A0A2T0AH72
14037	A0A2T0AAI4
12416	A0A2T0AG67
14473	A0A2T0ABR6
12915	A0A2T0AD26
12239	A0A2T0AFN5
12456	A0A2T0AGA2
8644	A0A2T0AHV1
15042	A0A2T0A9P9
9114	A0A2T0AJ76
13899	A0A2T0AA43
10096	A0A2S9ZZN9
10186	A0A2S9ZZY5
11332	A0A2S9ZXY1
13846	A0A2T0A9Y3
10518	A0A2S9ZYY7
12236	A0A2T0AFN6
13527	A0A2T0ABT6
13335	A0A2T0AE92
13028	A0A2T0ADB7
10238	A0A2T0A046
16696	A0A2T0A427
15849	A0A2T0A584
15601	A0A2T0A7P1
12534	A0A2T0AGI9
16203	A0A2T0A644
11943	A0A2T0AEU3
12354	A0A2T0AG11
12352	A0A2T0AG22
11404	A0A2S9ZWP1
9445	A0A2T0A272
16427	A0A2T0A3D3
16734	A0A2T0A4A1
15407	A0A2T0A760
14593	A0A2T0A8A6
13910	A0A2T0AA60
12033	A0A2T0AF34
8730	A0A2T0AI48
15000	A0A2T0A9E0
11386	A0A2S9ZWN3
15108	A0A2T0A696
15332	A0A2T0A6Y8
15068	A0A2T0A9L7
8729	A0A2T0AI62
8486	A0A2T0AHD2
8576	A0A2T0AHL9
9010	A0A2T0AIX1
16381	A0A2T0A369
14491	A0A2T0A7Z4
13835	A0A2T0A9X7
10492	A0A2S9ZYW8
15539	A0A2T0A7H4
11815	A0A2S9ZVL7
14101	A0A2T0AAQ3
13874	A0A2T0AA38
